Loading data for Scheme A (cifar10)...
Starting training for 30 epochs.
Epoch 20: train_loss = 0.3503, val_acc = 0.8146, time = 8.50s
Epoch 21: train_loss = 0.3390, val_acc = 0.8169, time = 8.78s
Epoch 22: train_loss = 0.3354, val_acc = 0.8199, time = 9.05s
Epoch 23: train_loss = 0.3245, val_acc = 0.8202, time = 8.79s
Epoch 24: train_loss = 0.3254, val_acc = 0.8192, time = 9.25s
Epoch 25: train_loss = 0.3165, val_acc = 0.8224, time = 8.96s
Epoch 26: train_loss = 0.3106, val_acc = 0.8194, time = 8.76s
Epoch 27: train_loss = 0.3155, val_acc = 0.8194, time = 8.64s
Epoch 28: train_loss = 0.3075, val_acc = 0.8222, time = 8.73s
Epoch 29: train_loss = 0.3078, val_acc = 0.8172, time = 8.92s
Epoch 30: train_loss = 0.3074, val_acc = 0.8200, time = 8.95s
Saved B seed 3 model to models_cifar10/scheme_B/seed_3. Final val_acc=0.8215, best=0.8224
Loading data for Scheme B (cifar10)...
Loading matching Scheme A initialization from models_cifar10/scheme_A/seed_4/weights.safetensors...
Starting training for 30 epochs.
Epoch 01: train_loss = 0.8977, val_acc = 0.7231, time = 8.70s
Epoch 02: train_loss = 0.7123, val_acc = 0.7822, time = 8.59s
Epoch 03: train_loss = 0.6439, val_acc = 0.7735, time = 8.63s
Epoch 04: train_loss = 0.5950, val_acc = 0.7826, time = 8.81s
Epoch 05: train_loss = 0.5759, val_acc = 0.7839, time = 8.59s
Epoch 06: train_loss = 0.5500, val_acc = 0.7729, time = 8.52s
Epoch 07: train_loss = 0.5293, val_acc = 0.7865, time = 8.53s
Epoch 08: train_loss = 0.5113, val_acc = 0.7887, time = 8.32s
Epoch 09: train_loss = 0.4967, val_acc = 0.7898, time = 8.38s
Epoch 10: train_loss = 0.4810, val_acc = 0.8014, time = 8.42s
Epoch 11: train_loss = 0.4614, val_acc = 0.8126, time = 8.57s
Epoch 12: train_loss = 0.4501, val_acc = 0.8052, time = 8.49s
Epoch 13: train_loss = 0.4360, val_acc = 0.7987, time = 8.39s
Epoch 14: train_loss = 0.4221, val_acc = 0.8095, time = 8.42s
Epoch 15: train_loss = 0.4098, val_acc = 0.8160, time = 8.53s
Epoch 16: train_loss = 0.3967, val_acc = 0.8074, time = 8.56s
Epoch 17: train_loss = 0.3856, val_acc = 0.8103, time = 8.55s
Epoch 18: train_loss = 0.3737, val_acc = 0.8087, time = 8.34s
Epoch 19: train_loss = 0.3683, val_acc = 0.8152, time = 8.34s
Epoch 20: train_loss = 0.3489, val_acc = 0.8140, time = 8.33s
Epoch 21: train_loss = 0.3421, val_acc = 0.8181, time = 8.38s
Epoch 22: train_loss = 0.3373, val_acc = 0.8113, time = 9.30s
Epoch 23: train_loss = 0.3345, val_acc = 0.8142, time = 97.26s
Epoch 24: train_loss = 0.3285, val_acc = 0.8162, time = 8.38s
Epoch 25: train_loss = 0.3202, val_acc = 0.8191, time = 8.65s
Epoch 26: train_loss = 0.3207, val_acc = 0.8185, time = 8.48s
Epoch 27: train_loss = 0.3204, val_acc = 0.8183, time = 9.39s
Epoch 28: train_loss = 0.3155, val_acc = 0.8192, time = 8.56s
Epoch 29: train_loss = 0.3126, val_acc = 0.8198, time = 8.93s
Epoch 30: train_loss = 0.3170, val_acc = 0.8177, time = 8.65s
Saved B seed 4 model to models_cifar10/scheme_B/seed_4. Final val_acc=0.8177, best=0.8198
Loading data for Scheme B (cifar10)...
Loading matching Scheme A initialization from models_cifar10/scheme_A/seed_5/weights.safetensors...
Starting training for 30 epochs.
Epoch 01: train_loss = 0.9947, val_acc = 0.7242, time = 8.64s
Epoch 02: train_loss = 0.7992, val_acc = 0.7426, time = 8.60s
Epoch 03: train_loss = 0.7451, val_acc = 0.7424, time = 8.59s
Epoch 04: train_loss = 0.7079, val_acc = 0.7532, time = 8.60s
Epoch 05: train_loss = 0.6811, val_acc = 0.7888, time = 8.64s
Epoch 06: train_loss = 0.6553, val_acc = 0.7705, time = 8.58s
Epoch 07: train_loss = 0.6371, val_acc = 0.7743, time = 8.44s
Epoch 08: train_loss = 0.6171, val_acc = 0.7900, time = 8.69s
Epoch 09: train_loss = 0.5973, val_acc = 0.7877, time = 8.87s
Epoch 10: train_loss = 0.5862, val_acc = 0.7925, time = 8.76s
Epoch 11: train_loss = 0.5705, val_acc = 0.7929, time = 8.99s
Epoch 12: train_loss = 0.5570, val_acc = 0.7943, time = 8.74s
Epoch 13: train_loss = 0.5405, val_acc = 0.7858, time = 8.73s
Epoch 14: train_loss = 0.5303, val_acc = 0.7910, time = 8.59s
Epoch 15: train_loss = 0.5143, val_acc = 0.7998, time = 8.58s
Epoch 16: train_loss = 0.5054, val_acc = 0.8064, time = 8.76s
Epoch 17: train_loss = 0.4912, val_acc = 0.8040, time = 8.77s
Epoch 18: train_loss = 0.4826, val_acc = 0.8082, time = 8.54s
Epoch 19: train_loss = 0.4745, val_acc = 0.8096, time = 8.55s
Epoch 20: train_loss = 0.4646, val_acc = 0.8004, time = 8.68s
Epoch 21: train_loss = 0.4547, val_acc = 0.8081, time = 8.63s
Epoch 22: train_loss = 0.4475, val_acc = 0.8085, time = 8.47s
Epoch 23: train_loss = 0.4406, val_acc = 0.8118, time = 8.49s
Epoch 24: train_loss = 0.4374, val_acc = 0.8121, time = 8.61s
Epoch 25: train_loss = 0.4343, val_acc = 0.8115, time = 8.50s
Epoch 26: train_loss = 0.4352, val_acc = 0.8116, time = 8.83s
Epoch 27: train_loss = 0.4306, val_acc = 0.8089, time = 9.46s
Epoch 28: train_loss = 0.4254, val_acc = 0.8121, time = 9.02s
Epoch 29: train_loss = 0.4198, val_acc = 0.8083, time = 8.50s
Epoch 30: train_loss = 0.4234, val_acc = 0.8112, time = 8.53s
Saved B seed 5 model to models_cifar10/scheme_B/seed_5. Final val_acc=0.8083, best=0.8121
Loading data for Scheme C (cifar10)...
Loading matching Scheme A initialization from models_cifar10/scheme_A/seed_1/weights.safetensors...
Starting training for 30 epochs.
Epoch 01: train_loss = 0.9628, val_acc = 0.7238, time = 7.73s
Epoch 02: train_loss = 0.7303, val_acc = 0.7380, time = 7.56s
Epoch 03: train_loss = 0.6765, val_acc = 0.7704, time = 7.61s
Epoch 04: train_loss = 0.6237, val_acc = 0.7745, time = 7.71s
Epoch 05: train_loss = 0.5943, val_acc = 0.7800, time = 7.68s
Epoch 06: train_loss = 0.5709, val_acc = 0.7735, time = 7.54s
Epoch 07: train_loss = 0.5465, val_acc = 0.7662, time = 7.58s
Epoch 08: train_loss = 0.5250, val_acc = 0.7960, time = 7.63s
Epoch 09: train_loss = 0.5057, val_acc = 0.8072, time = 7.58s
Epoch 10: train_loss = 0.4823, val_acc = 0.7965, time = 7.62s
Epoch 11: train_loss = 0.4691, val_acc = 0.8054, time = 7.59s
Epoch 12: train_loss = 0.4527, val_acc = 0.7984, time = 7.63s
Epoch 13: train_loss = 0.4436, val_acc = 0.8035, time = 7.66s
Epoch 14: train_loss = 0.4268, val_acc = 0.7918, time = 7.64s
Epoch 15: train_loss = 0.4119, val_acc = 0.8088, time = 7.54s
Epoch 16: train_loss = 0.4012, val_acc = 0.8063, time = 7.57s
Epoch 17: train_loss = 0.3904, val_acc = 0.8056, time = 7.59s
Epoch 18: train_loss = 0.3728, val_acc = 0.8119, time = 129.72s
Epoch 19: train_loss = 0.3608, val_acc = 0.8104, time = 9.79s
Epoch 20: train_loss = 0.3528, val_acc = 0.8120, time = 8.46s
Epoch 21: train_loss = 0.3515, val_acc = 0.8151, time = 7.63s
Epoch 22: train_loss = 0.3371, val_acc = 0.8140, time = 7.66s
Epoch 23: train_loss = 0.3329, val_acc = 0.8151, time = 7.83s
Epoch 24: train_loss = 0.3238, val_acc = 0.8140, time = 7.72s
Epoch 25: train_loss = 0.3222, val_acc = 0.8154, time = 7.46s
Epoch 26: train_loss = 0.3130, val_acc = 0.8165, time = 7.53s
Epoch 27: train_loss = 0.3146, val_acc = 0.8142, time = 7.46s
Epoch 28: train_loss = 0.3114, val_acc = 0.8174, time = 7.53s
Epoch 29: train_loss = 0.3101, val_acc = 0.8157, time = 7.52s
Epoch 30: train_loss = 0.3106, val_acc = 0.8183, time = 7.56s
Saved C seed 1 model to models_cifar10/scheme_C/seed_1. Final val_acc=0.8148, best=0.8183
Loading data for Scheme C (cifar10)...
Loading matching Scheme A initialization from models_cifar10/scheme_A/seed_2/weights.safetensors...
Starting training for 30 epochs.
Epoch 01: train_loss = 1.0865, val_acc = 0.6590, time = 7.51s
Epoch 02: train_loss = 0.8684, val_acc = 0.7556, time = 7.58s
Epoch 03: train_loss = 0.8135, val_acc = 0.7481, time = 7.58s
Epoch 04: train_loss = 0.7700, val_acc = 0.7670, time = 7.47s
Epoch 05: train_loss = 0.7453, val_acc = 0.7729, time = 7.64s
Epoch 06: train_loss = 0.7174, val_acc = 0.7778, time = 7.45s
Epoch 07: train_loss = 0.6991, val_acc = 0.7797, time = 8.10s
Epoch 08: train_loss = 0.6752, val_acc = 0.7855, time = 16.44s
Epoch 09: train_loss = 0.6593, val_acc = 0.7892, time = 7.99s
Epoch 10: train_loss = 0.6433, val_acc = 0.7871, time = 7.90s
Epoch 11: train_loss = 0.6248, val_acc = 0.7812, time = 7.53s
Epoch 12: train_loss = 0.6162, val_acc = 0.7848, time = 7.55s
